created_stamp,modified_stamp,traditional,jyutping,correct,incorrect,difficulty,priority,last_reviewed_stamp
2021-09-01 19:32:38,2021-09-01 19:44:38,一鑊熟,jat1 wok6 suk6,0,0,100,,2021-09-01 19:47:53
2021-09-01 19:32:06,2021-09-01 19:44:38,鬼婆,gwai2 po4,0,0,100,,2021-09-01 19:47:08
2021-09-01 19:31:41,2021-09-01 19:44:38,食蕉,sik6 ziu1,0,0,100,,2021-09-01 19:47:45
2021-09-01 19:29:19,2021-09-01 19:44:38,一天都光晒,jat1 tin1 dou1 gwong1 saai3,0,0,100,,2021-09-01 19:46:54
2021-09-01 19:28:48,2021-09-01 19:44:38,反胃,faan2 wai6,0,0,100,,2021-09-01 19:47:38
2021-09-01 19:28:09,2021-09-01 19:44:38,打冷震,daa2 laang5 zan3,0,0,100,,2021-09-01 19:47:27
2021-09-01 19:27:45,2021-09-01 19:44:38,出世,ceot1 sai3,0,0,100,,2021-09-01 19:46:46
2021-09-01 19:23:33,2021-09-01 19:44:38,打工,daa2 gung1,0,0,100,,2021-09-01 19:47:24
2021-09-01 19:23:17,2021-09-01 19:44:38,即係,zik1 hai6,0,0,100,,2021-09-01 19:47:55
2021-09-01 19:22:49,2021-09-01 19:44:38,菲律賓,fei1 leot6 ban1,0,0,100,,2021-09-01 19:47:32
2021-09-01 19:22:06,2021-09-01 19:44:38,婆婆,po4 po2,0,0,100,,2021-09-01 19:47:01
2021-09-01 19:21:56,2021-09-01 19:44:38,爭,zang1,0,0,100,,2021-09-01 19:46:49
2021-09-01 19:21:35,2021-09-01 19:44:38,手指,sau2 zi2,0,0,100,,2021-09-01 19:47:18
2021-09-01 19:19:35,2021-09-01 19:44:38,泰國,taai3 gwok3,0,0,100,,2021-09-01 19:47:14
2021-09-01 19:19:14,2021-09-01 19:44:38,時差,si4 caa1,0,0,100,,2021-09-01 19:47:34
2021-09-01 19:18:54,2021-09-01 19:44:38,健康,gin6 hong1,0,0,100,,2021-09-01 19:47:12
2021-09-01 19:15:18,2021-09-01 19:44:38,感覺,gam2 gok3,0,0,100,,2021-09-01 19:47:42
2021-08-21 22:47:39,2021-08-21 22:56:37,勇敢,jung5 gam2,0,0,100,,2021-09-01 19:47:49
2021-08-21 22:47:26,2021-08-21 22:56:37,講笑,gong2 siu3,0,0,100,,2021-09-01 19:47:20
2021-08-14 16:11:16,2021-08-14 16:34:13,文字,man4 zi6,0,2,90,,2021-09-01 19:45:57
